mttf,mttr,arrival_rate,service_rate,num_nodes,failure_type,failure_type_enc,best_policy,best_throughput,best_wait_p95,best_dropped
67.32655185893088,11.744667844096757,2.122920571808584,1.0247914532927935,2,degrade,1,freeze,1.7920000000000003,47.76069996544812,22.8
92.14800195499495,20.165894394179496,4.188489682951995,1.8154374871981342,4,degrade,1,freeze,4.112,10.986501411259335,0.0
83.42681987093789,5.068462504253702,4.572212829762708,1.0503783629581966,5,degrade,1,freeze,4.426666666666667,21.316577235834764,0.0
25.80900585423031,26.579473058747165,3.624383660747275,1.4495678358060773,3,down,0,drop_queue,2.199333333333333,19.33076666431473,154.2
12.548770403091666,8.107081912489098,4.011873244080891,1.9707842673613751,3,degrade,1,freeze,3.692,32.02570089041657,7.0
44.53097988356951,29.930248394730274,4.94250601632869,2.028312976721042,5,degrade,1,freeze,4.767333333333333,21.89814307908918,0.0
71.9602057513846,14.723035599477594,2.4052895150672335,2.0822325102911226,5,degrade,1,freeze,2.422,1.8063813330747416,0.0
37.92176880030601,17.145883970794728,4.6684635030470005,2.4010652739343747,4,down,0,drop_queue,4.471333333333333,4.77323308171054,2.6
61.43768476567848,13.046734776898553,3.7829000905990906,1.5068668382607,5,down,0,drop_queue,3.682666666666667,5.036375075869398,0.0
90.12469168043131,10.678939838334493,3.8695614340581272,1.1260230153735773,3,degrade,1,freeze,3.056,50.652754680831485,83.0
80.8388476739815,10.984236074823805,4.629452692432111,1.0878520522077915,4,down,0,drop_queue,3.7166666666666663,25.484845701217655,4.2
23.525152020535515,16.258484166232172,4.388972810861883,1.3459633134906213,5,down,0,drop_queue,3.3526666666666665,14.373810278670126,31.0
46.40966558393754,9.962826112731383,2.2722591368573655,1.870498578980276,5,down,0,drop_queue,2.268666666666667,0.47307128470548526,0.0
70.47953901607235,9.987886099205333,4.826339331519494,1.547665252367243,4,down,0,drop_queue,4.639333333333333,13.528101926247103,8.2
66.61973363857383,28.178863826696684,3.321131464147352,2.4318857405361056,2,down,0,drop_queue,2.9399999999999995,13.861056516858573,63.4
48.2705762364168,20.505336300384446,4.985289515705972,2.423415512406648,2,down,0,drop_queue,3.4259999999999997,20.239671834734633,288.8
78.19559607774623,17.435567387190474,3.587936480590311,2.1786785510707114,2,down,0,drop_queue,3.2166666666666672,17.32783157383388,32.2
76.10352146098565,22.778571949743746,4.796179059840135,1.1723989499213578,2,degrade,1,freeze,2.021333333333333,68.82844989589948,720.0
93.4681535762104,29.19815474811616,2.044118914896108,2.295460135368364,2,degrade,1,freeze,2.0186666666666664,13.90681906011417,0.0
96.14891616498672,8.719100305812448,4.917886441468864,2.334903333580781,3,degrade,1,freeze,4.851999999999999,7.813295572328919,0.0
53.198913142704896,10.809322990982597,4.405641736154924,2.3852952396752043,5,down,0,drop_queue,4.331333333333333,1.2922989662489344,0.0
58.50409668599682,16.068820724363288,4.793051947943465,1.060766066782652,5,degrade,1,freeze,4.287333333333334,51.41837419027729,30.0
65.2935922254097,5.709134127838026,4.157659318480221,1.023987594285358,2,degrade,1,freeze,1.9026666666666667,64.35962548449574,557.6
56.14828509358703,28.227605519925156,2.198247490172224,2.2619759194185747,4,down,0,drop_queue,2.188666666666667,1.745260782604466,10.4
40.98789809237127,15.757468298695832,4.89818624235221,1.8433477633426856,5,down,0,drop_queue,4.614,5.537160565966363,4.2
31.750814268491048,27.202958016479496,2.6776082852519734,1.1868320587529253,5,down,0,drop_queue,2.122,9.599962484187282,38.6
62.751075833145954,18.852262554331695,4.429132327738333,1.8407139280092788,3,down,0,drop_queue,3.8053333333333335,14.476160183436253,30.2
47.16067084128034,25.45302427427276,3.8795193872592604,2.4386164640461634,4,down,0,drop_queue,3.586666666666667,5.1482338007711705,47.2
59.73503594691585,19.84810504032921,4.54487362482518,1.2182103072797976,5,down,0,drop_queue,3.9766666666666666,27.157093166917548,10.4
91.89630654960672,6.076672214205105,4.468118840544506,1.623076056056837,5,degrade,1,freeze,4.465999999999999,3.822692783560284,0.0
10.895910472656276,14.126153943956766,2.2358901114969196,1.9789218645049576,4,down,0,drop_queue,1.9486666666666665,2.455112093184051,57.6
73.23868635938076,28.59503567355227,2.380451306783743,2.297167443101161,3,down,0,drop_queue,2.283333333333333,1.6572245136202377,3.0
44.26934574798005,15.744351529464415,3.4665486405003927,2.4646934829040665,4,degrade,1,freeze,3.4726666666666666,4.203419423383041,0.0
37.79716264473349,11.745919637520004,4.589360612567953,2.3219607591065348,2,degrade,1,freeze,3.8,37.57974570627455,175.0
40.98661578660927,29.872933704022945,2.9478306361031006,1.2740685683898436,3,degrade,1,freeze,2.472,71.72135592378966,46.4
83.11018583001285,21.69723513928378,4.875240895333856,2.3885718658216284,5,degrade,1,freeze,4.919333333333333,12.177712441876356,0.0
87.463126859291,11.178668508052688,2.4237396707030947,2.005092773972404,2,degrade,1,freeze,2.3,4.639015400893915,0.0
25.034763590404495,14.8889318276219,4.730767298648164,1.8421011513253345,4,degrade,1,freeze,4.546666666666666,30.08553778563205,4.4
27.471679560171424,18.15055621544688,3.57030418218476,1.1334034603694079,4,degrade,1,freeze,3.082666666666667,55.40852487413499,33.2
