pooled_w95,pooled_mean_wait,mean_w95,std_w95,throughput,throughput_std,n_dropped,n_total,n_total_waits,mttf_fail,degrade_percent,elapsed_s
0.16744010786296704,0.05005889634730075,0.16255864717780694,0.06621032795666017,15.964299999999998,0.09814846463960174,166.4,48062.4,478929,2500,0.7,13.4
0.15050195435252353,0.04652731529594335,0.14773037969915911,0.05956842321919952,15.9104,0.1142258775895864,265.0,47998.0,477312,2500,0.8,12.1
0.11514516400229692,0.0393992959960684,0.11843236443528553,0.029722190891771354,15.950566666666665,0.0643625236022055,191.3,48044.2,478517,2500,0.9,14.0
0.13137762823166668,0.04320378916651441,0.13353061648590564,0.0367793293162009,15.886999999999997,0.09863929800597268,298.8,47962.3,476610,3000,0.7,12.7
0.15624671732371098,0.04762071176520714,0.1562907719306082,0.06240102859886764,15.966033333333332,0.12933663655575545,168.7,48069.2,478981,3000,0.8,13.6
0.11237528325386842,0.0386428978779798,0.11480814351187714,0.021673081798147625,15.941766666666666,0.13648663345218487,245.7,48074.0,478253,3000,0.9,13.2
0.1497221947254728,0.04757207215484239,0.15193698970183006,0.05288817889978653,15.9649,0.12967823855819288,151.3,48048.0,478947,3500,0.7,12.4
0.13563329768911103,0.044102885911647655,0.13958070340284962,0.04188768346505803,15.923200000000003,0.16176149795987405,279.6,48051.4,477696,3500,0.8,13.7
0.1123129634172243,0.038219005747482646,0.11459607030172074,0.019212691059915545,15.984633333333335,0.07016463971735806,30.3,47985.5,479539,3500,0.9,12.1
0.14893864146978272,0.04638840837969305,0.1525655996805845,0.04820779903066167,15.962833333333332,0.11118525581708691,101.7,47993.4,478885,4000,0.7,13.4
0.13501364258866033,0.043540368986582194,0.1389915343097573,0.04220478242013969,15.990366666666668,0.10765319317140572,82.1,48055.1,479711,4000,0.8,12.2
0.10494948143202688,0.03657391389145761,0.10621515013043989,0.013629237831877531,15.940266666666664,0.059683014520231906,179.6,48001.7,478208,4000,0.9,12.4
0.16562716580574488,0.04953011077939151,0.15830777585336855,0.07094778168023338,15.9907,0.10853821139733856,95.6,48070.8,479721,4500,0.7,12.8
0.11543613810558767,0.03892042483507689,0.11820854029423511,0.04234780714021943,15.969233333333335,0.10499714810941879,117.3,48028.8,479077,4500,0.8,12.4
0.10874082162888499,0.037237805129022306,0.1111352367372336,0.021425660018573746,15.996033333333333,0.07249313377447839,89.7,48080.9,479881,4500,0.9,13.2
